SKU;Название товара;Поисковая фраза;Запрос пользователя;Показы;Клики;CTR (%);Расход (руб., с НДС)
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;магнгал;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;уголь для мангала брикет;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангалы для дачи;265;5;1,89;111,02
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;отдых и пикник;3;0;0,00;1,35
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;решетка гриль на мангал чугунная;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал с крышей ;4;0;0,00;1,50
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;для мангала подарко;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал концепт ;2;0;0,00;0,80
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал со скамейкой;2;0;0,00;1,05
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;манганл;2;0;0,00;0,80
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал с автоповоротом;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;электрически мангал;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;дача для мангал;мангалы для дачи стационарный;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;маегалы;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;уценка корзины для пикника;4;0;0,00;1,00
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;мангал форд;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;сумка для пекника;3;0;0,00;1,20
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;все для пикника;294;2;0,68;113,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;вертушка для мангала;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал разборный;мангалы разборные;68;1;1,47;30,59
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал с аэротрубой;2;0;0,00;0,80
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал трамп;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал паладин;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;гриль мангал;гриль мангал с крышкой;1;0;0,00;0,60
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;пикник большие контейнеры;1;0;0,00;0,35
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;мангал для триноги;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;веер для мангала;1;0;0,00;0,60
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;стационарный мангал;мангал стационарный;2;0;0,00;0,70
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;для пикника шампур;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;чугунный мангал;3;0;0,00;1,10
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал разборный;мангал дачный разборный;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал 90х90х30;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал дамел;1;0;0,00;0,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;набор для пикника на 4 персоны;7;0;0,00;2,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал с выработкой электричества;1;0;0,00;0,37
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;маншал;10;2;20,00;4,75
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;наборы посуды для пикника для приготовления пищи;1;0;0,00;0,35
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;для пикнике ;1;0;0,00;0,35
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;гриль,мангал,барбекю;2;0;0,00;0,50
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;vt,tkm lkz gbrybrf;1;0;0,00;0,35
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал разборный;разборной мангал;3;0;0,00;1,20
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;ognevoda мангал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;сажин для мангола;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;магнал ;3;0;0,00;1,30
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;мангал субару;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;посуда белая для пикника набор;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;сумка с наборомй для пикника;15;0;0,00;6,00
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;мангал складной  grillux picnic;1;0;0,00;0,70
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;"встраиваемый мангал

";1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;мангал 2мм;1;0;0,00;0,34
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;шампура к мангалу;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;ножки на мангал ;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал пикник разборной;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;вертел электрический для мангала;1;0;0,00;0,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;однаразывый мангал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;разборный мангал;36;3;8,33;15,19
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;приспособления для мангала чугунная;1;0;0,00;0,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;корзина для пикника с крышкой;134;0;0,00;45,84
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал abcbest;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал высокий многоразовые;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;для мангал;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал vartex;1;0;0,00;0,60
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;набор инструментов для мангала;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;переносной мангал;2;0;0,00;0,68
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;перчатки для мангала;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;решетка на мангал нержавейка;4;0;0,00;1,56
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;бангал дачный;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;torex иангал;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;мангал -печ;1;0;0,00;0,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;мебель для пикника складная;5;0;0,00;2,00
